ko_id,gene_name,subcategory,evidence_tier,lambda_original,genus,n_genomes_with_ko,genus_genome_total,presence_fraction,y_transformed
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,gca-2717465,1,2,0.5,0.7853981633974484
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,leptotrichia_a,2,4,0.5,0.7853981633974484
K02010,,,,,41t-stbd-0c-01a,7,9,0.7777777777777778,1.0799136485055854
K19595,gesA,Resistance/Detoxification,Tier 1,0.1610584292276534,jabuey01,2,4,0.5,0.7853981633974484
K02075,,,,,rhodobacter_f,7,10,0.7,0.9911565864311923
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,skon01,1,2,0.5,0.7853981633974484
K02015,,,,,hungatella_b,2,2,0.9999,1.5607961601207307
K02010,,,,,gca-2719775,2,2,0.9999,1.5607961601207307
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,hydrogenovibrio,1,11,0.09090909090909091,0.30627736916966947
K02010,,,,,jaiumy01,2,2,0.9999,1.5607961601207307
K02008,,,,,shimia,4,12,0.3333333333333333,0.6154797086703873
K09815,,,,,s140-46,1,2,0.5,0.7853981633974484
K00240,,,,,uba9040,2,3,0.6666666666666666,0.9553166181245093
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,jadfia01,1,2,0.5,0.7853981633974484
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,porphyromonas_a,3,17,0.17647058823529413,0.4335379093558366
K09820,,,,,ruthenibacterium,2,20,0.1,0.3217505543966422
K09819,,,,,actinobaculum,4,7,0.5714285714285714,0.8570719478501309
K02010,,,,,uba8248,10,10,0.9999,1.5607961601207307
K02016,,,,,2-01-full-53-15,1,1,0.9999,1.5607961601207307
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,vazq01,2,9,0.2222222222222222,0.49088267828931137
K11709,troD,Transport/Homeostasis,Tier 1,0.2209258229638139,roseovarius,16,44,0.36363636363636365,0.6472848480156526
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,uba6944,5,15,0.3333333333333333,0.6154797086703873
K02016,,,,,64-32,3,3,0.9999,1.5607961601207307
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,acidovorax_c,2,5,0.4,0.684719203002283
K09815,,,,,rgig7150,2,2,0.9999,1.5607961601207307
K09818,,,,,halolactibacillus,4,6,0.6666666666666666,0.9553166181245093
K02010,,,,,cag-791,22,64,0.34375,0.626486311433508
K02016,,,,,coprococcus,9,16,0.5625,0.848062078981481
K19591,,,,,azotobacter,4,11,0.36363636363636365,0.6472848480156526
K02015,,,,,neoasaia,2,2,0.9999,1.5607961601207307
K02075,,,,,jajyvt01,3,12,0.25,0.5235987755982989
K19591,,,,,crocosphaera,1,3,0.3333333333333333,0.6154797086703873
K11709,troD,Transport/Homeostasis,Tier 1,0.2209258229638139,prauserella_b,1,2,0.5,0.7853981633974484
K02016,,,,,caccocola,5,7,0.7142857142857143,1.0068536854342678
K19975,,,,,brevibacterium,17,98,0.17346938775510204,0.4295883198056247
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,cag-95,10,26,0.38461538461538464,0.6689640742684072
K02484,,,,,uba2199,1,3,0.3333333333333333,0.6154797086703873
K02015,,,,,lachnoanaerobaculum,12,14,0.8571428571428571,1.1831996401397158
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,oxynema,1,2,0.5,0.7853981633974484
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,arthrobacter_b,10,35,0.2857142857142857,0.5639426413606289
K09816,,,,,smithella,9,13,0.6923076923076923,0.9827937232473292
K09816,,,,,jamlgm01,1,2,0.5,0.7853981633974484
K11603,,,,,curtobacterium,7,74,0.0945945945945946,0.31263013325851247
K07665,cusR,Resistance/Detoxification,Tier 1,0.4088795708368367,sphaerotilus,6,7,0.8571428571428571,1.1831996401397158
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,halospina,1,3,0.3333333333333333,0.6154797086703873
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,fen-1087,2,5,0.4,0.684719203002283
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,paraclostridium,2,32,0.0625,0.25268025514207865
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,uba2804,4,8,0.5,0.7853981633974484
K11707,troA,Transport/Homeostasis,Tier 1,0.1427548455398582,reeb421,2,5,0.4,0.684719203002283
K19973,,,,,lactiplantibacillus,6,34,0.17647058823529413,0.4335379093558366
K09816,,,,,epibacterium,5,22,0.22727272727272727,0.4969324907792199
K02077,,,,,treponema_b,8,30,0.26666666666666666,0.5426391022496527
K02225,cobC1,Cofactor Biosynthesis,Tier 2,0.8286025046403807,cabjbcq01,1,3,0.3333333333333333,0.6154797086703873
K11710,,,,,uba10424,2,3,0.6666666666666666,0.9553166181245093
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,pseudoleptotrichia,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,caballeronia,12,56,0.21428571428571427,0.4812753739423435
K02077,,,,,helicobacter_b,3,9,0.3333333333333333,0.6154797086703873
K02077,,,,,cetia,1,2,0.5,0.7853981633974484
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,caivjw01,2,2,0.9999,1.5607961601207307
K01534,,,,,rheinheimera,3,13,0.23076923076923078,0.5010930132653572
K02016,,,,,fimisoma,7,12,0.5833333333333334,0.869122203007293
K02013,,,,,heritagella,10,13,0.7692307692307693,1.0697033135295395
K02074,,,,,virgibacillus,18,29,0.6206896551724138,0.9072916326316162
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,serratia_j,14,46,0.30434782608695654,0.5843738968484469
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,spirosoma,5,10,0.5,0.7853981633974484
K08365,,,,,methyloversatilis,5,20,0.25,0.5235987755982989
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,stappia,6,12,0.5,0.7853981633974484
K01534,,,,,uba5359,1,2,0.5,0.7853981633974484
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,chitinophaga,7,22,0.3181818181818182,0.5993138964172854
K09815,,,,,haemophilus,13,44,0.29545454545454547,0.5746693791637978
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,trichlorobacter,2,6,0.3333333333333333,0.6154797086703873
K16264,,,,,undibacterium,1,11,0.09090909090909091,0.30627736916966947
K09817,,,,,halothiobacillus,3,7,0.42857142857142855,0.7137243789447656
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,sig471,2,2,0.9999,1.5607961601207307
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,schleiferilactobacillus,2,7,0.2857142857142857,0.5639426413606289
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,erysipelothrix,8,15,0.5333333333333333,0.8187562376025609
K03795,,,,,cairay01,1,2,0.5,0.7853981633974484
K15725,,,,,ya12-full-51-18,2,4,0.5,0.7853981633974484
K11606,sitD,Transport/Homeostasis,Tier 1,0.3064857252891996,amaricoccus,3,4,0.75,1.0471975511965976
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,pxbq01,1,3,0.3333333333333333,0.6154797086703873
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,uba5799,2,5,0.4,0.684719203002283
K02225,cobC1,Cofactor Biosynthesis,Tier 2,0.8286025046403807,phyllobacterium,9,35,0.2571428571428571,0.5318080969475676
K11604,sitA,Transport/Homeostasis,Tier 1,0.3168208363272951,pacificitalea,1,3,0.3333333333333333,0.6154797086703873
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,methylacidiphilum,6,8,0.75,1.0471975511965976
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,wqtx01,1,2,0.5,0.7853981633974484
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,jabdqa01,2,5,0.4,0.684719203002283
K09815,,,,,uba5972,3,3,0.9999,1.5607961601207307
K02006,,,,,jaayjk01,2,2,0.9999,1.5607961601207307
K02077,,,,,roseomonas_d,4,8,0.5,0.7853981633974484
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,uba4844,3,11,0.2727272727272727,0.5494672447576274
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,limnocylindrus,9,9,0.9999,1.5607961601207307
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,jabdaw01,5,5,0.9999,1.5607961601207307
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,slfx01,1,2,0.5,0.7853981633974484
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,microbispora,23,29,0.7931034482758621,1.0985826410133916
K09815,,,,,um-filter-41-14,1,3,0.3333333333333333,0.6154797086703873
K02484,,,,,photobacterium,5,88,0.056818181818181816,0.2406826422292636
K09816,,,,,pararhodobacter,7,13,0.5384615384615384,0.8238977337258601
K00240,,,,,fen-455,4,16,0.25,0.5235987755982989
K02075,,,,,sheuella,1,2,0.5,0.7853981633974484
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,gluconobacter_a,5,18,0.2777777777777778,0.5551211675567872
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,wenzhouxiangella,2,22,0.09090909090909091,0.30627736916966947
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,jadjjr01,4,4,0.9999,1.5607961601207307
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,exiguobacterium,18,48,0.375,0.659058035826409
K02483,,,,,jaczqv01,2,7,0.2857142857142857,0.5639426413606289
K09815,,,,,pseudomonas_k,2,4,0.5,0.7853981633974484
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,holzapfelia,1,2,0.5,0.7853981633974484
K01534,,,,,lichenihabitans,1,3,0.3333333333333333,0.6154797086703873
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,rh-al1,1,3,0.3333333333333333,0.6154797086703873
K09817,,,,,herpetosiphon,2,2,0.9999,1.5607961601207307
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,parasynechococcus,16,33,0.48484848484848486,0.770244328414355
K10094,,,,,muribacter,1,4,0.25,0.5235987755982989
K00380,,,,,photorhabdus,12,41,0.2926829268292683,0.571627801432262
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,limosilactobacillus,24,98,0.24489795918367346,0.5176871318584505
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,kineosphaera,1,2,0.5,0.7853981633974484
K02068,,,,,smaragdicoccus,1,2,0.5,0.7853981633974484
K11607,,,,,ectothiorhodospira,5,13,0.38461538461538464,0.6689640742684072
K09819,,,,,jagpbs01,1,1,0.9999,1.5607961601207307
K03750,,,,,sxxk01,10,12,0.8333333333333334,1.1502619915109316
K03750,,,,,gwe2-40-63,2,6,0.3333333333333333,0.6154797086703873
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,vagococcus,2,13,0.15384615384615385,0.4030570744661132
K16783,,,,,umgs1976,3,3,0.9999,1.5607961601207307
K11606,sitD,Transport/Homeostasis,Tier 1,0.3064857252891996,tous-c4feb,2,10,0.2,0.4636476090008061
K02068,,,,,jamcvz01,1,3,0.3333333333333333,0.6154797086703873
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,jabmqb01,3,4,0.75,1.0471975511965976
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,contendobacter,2,4,0.5,0.7853981633974484
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,salirhabdus,1,2,0.5,0.7853981633974484
K09815,,,,,uba1212,6,6,0.9999,1.5607961601207307
K02230,cobN,Transport/Homeostasis,Tier 2,0.8493536953288198,pseudoflavonifractor,1,9,0.1111111111111111,0.3398369094541219
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,bergeyella_a,1,3,0.3333333333333333,0.6154797086703873
K09817,,,,,uba2262,8,15,0.5333333333333333,0.8187562376025609
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,uba12247,1,2,0.5,0.7853981633974484
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,jahioq01,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,med-g13,8,10,0.8,1.1071487177940904
K02013,,,,,camchb01,1,1,0.9999,1.5607961601207307
K02077,,,,,uba11889,1,8,0.125,0.36136712390670783
K02483,,,,,subtercola,6,6,0.9999,1.5607961601207307
K03638,,,,,cellvibrio,4,9,0.4444444444444444,0.7297276562269663
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,flammeovirga,2,5,0.4,0.684719203002283
K02010,,,,,uba3574,3,4,0.75,1.0471975511965976
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,gemmobacter,1,12,0.08333333333333333,0.2928427717285755
K03795,,,,,sxqi01,2,3,0.6666666666666666,0.9553166181245093
K03673,dsbA,Unknown,Tier 2,0.6413594922712997,caivux01,1,3,0.3333333333333333,0.6154797086703873
K02074,,,,,umgs902,2,6,0.3333333333333333,0.6154797086703873
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,merdousia,8,19,0.42105263157894735,0.7061190230785984
K01534,,,,,limadaptatus,9,9,0.9999,1.5607961601207307
K10834,,,,,bin16,2,5,0.4,0.684719203002283
K02013,,,,,lachnoclostridium_a,9,13,0.6923076923076923,0.9827937232473292
K09818,,,,,leifsonia_a,2,4,0.5,0.7853981633974484
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,telluria,19,51,0.37254901960784315,0.6565250066655685
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,polaribacter,15,26,0.5769230769230769,0.8626279626395403
K02015,,,,,archangium,3,4,0.75,1.0471975511965976
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,bm002,1,3,0.3333333333333333,0.6154797086703873
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,aureimonas,16,20,0.8,1.1071487177940904
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,tatlockia,2,17,0.11764705882352941,0.3501057777671456
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,marinobacter_a,1,9,0.1111111111111111,0.3398369094541219
K09882,,,,,gca-2730855,2,2,0.9999,1.5607961601207307
K02015,,,,,hydrocarboniclastica,3,3,0.9999,1.5607961601207307
K09819,,,,,enterobacter,29,262,0.11068702290076336,0.33916162475498696
K11707,troA,Transport/Homeostasis,Tier 1,0.1427548455398582,catonella,1,3,0.3333333333333333,0.6154797086703873
K02015,,,,,jahjch01,1,2,0.5,0.7853981633974484
K09819,,,,,alysiella,1,4,0.25,0.5235987755982989
K02484,,,,,lenti-01,1,5,0.2,0.4636476090008061
K02074,,,,,slsq01,1,2,0.5,0.7853981633974484
K03750,,,,,uba12091,1,3,0.3333333333333333,0.6154797086703873
K08365,,,,,herbaspirillum,6,48,0.125,0.36136712390670783
K11709,troD,Transport/Homeostasis,Tier 1,0.2209258229638139,cabzjg01,3,8,0.375,0.659058035826409
K03750,,,,,paenibacillus_e,9,15,0.6,0.8860771237926137
K02483,,,,,limivicinus,7,97,0.07216494845360824,0.2719760194700311
K09817,,,,,b17-g16,1,4,0.25,0.5235987755982989
K02016,,,,,uba3574,2,4,0.5,0.7853981633974484
K03523,bioY,Transport/Homeostasis,Tier 2,0.3913104502221118,bog-257,4,7,0.5714285714285714,0.8570719478501309
K02016,,,,,jafago01,2,2,0.9999,1.5607961601207307
K09817,,,,,fructilactobacillus,5,9,0.5555555555555556,0.8410686705679302
K00245,,,,,wlxd01,1,2,0.5,0.7853981633974484
K02013,,,,,yd0425bin51,3,3,0.9999,1.5607961601207307
K16915,,,,,fen-1137,1,19,0.05263157894736842,0.23147736397017837
K16784,,,,,jaimat01,1,2,0.5,0.7853981633974484
K01534,,,,,aquiluna,7,9,0.7777777777777778,1.0799136485055854
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,jamlhw01,1,3,0.3333333333333333,0.6154797086703873
K05895,,,,,prochlorococcus_b,5,11,0.45454545454545453,0.7398807743787407
K09815,,,,,changpingibacter,3,7,0.42857142857142855,0.7137243789447656
K01534,,,,,erysipelothrix,15,15,0.9999,1.5607961601207307
K03446,emrB,Resistance/Detoxification,Tier 2,0.6930795793230609,uba7672,1,2,0.5,0.7853981633974484
K16784,,,,,cutibacterium,5,49,0.10204081632653061,0.32513665332719066
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,dehalobacter,1,8,0.125,0.36136712390670783
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,olsenella_i,1,2,0.5,0.7853981633974484
K01534,,,,,dolosigranulum,8,8,0.9999,1.5607961601207307
K09820,,,,,w5053,1,2,0.5,0.7853981633974484
K03638,,,,,leclercia,8,38,0.21052631578947367,0.47667961158977024
K02484,,,,,uba6940,2,3,0.6666666666666666,0.9553166181245093
K10834,,,,,uba7388,1,5,0.2,0.4636476090008061
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,haemophilus_d,21,98,0.21428571428571427,0.4812753739423435
K00240,,,,,umgs1202,1,2,0.5,0.7853981633974484
K02010,,,,,uba7236,1,9,0.1111111111111111,0.3398369094541219
K01534,,,,,piscibacillus,1,2,0.5,0.7853981633974484
K09815,,,,,oryzomonas,2,2,0.9999,1.5607961601207307
K09815,,,,,bms3bbin04,1,2,0.5,0.7853981633974484
K02484,,,,,caikxv01,2,8,0.25,0.5235987755982989
K02483,,,,,geitlerinema,1,2,0.5,0.7853981633974484
K16783,,,,,2-12-full-39-13,1,3,0.3333333333333333,0.6154797086703873
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,dtjg01,2,3,0.6666666666666666,0.9553166181245093
K07644,cusS,Sensing/Regulation,Tier 1,0.5829791855461725,franconibacter,5,9,0.5555555555555556,0.8410686705679302
K00245,,,,,miniimonas,1,3,0.3333333333333333,0.6154797086703873
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,peptidiphaga,3,5,0.6,0.8860771237926137
K15727,,,,,caltts01,1,1,0.9999,1.5607961601207307
K09815,,,,,algoriphagus,18,25,0.72,1.01319750009536
K00380,,,,,myxococcus,12,38,0.3157894736842105,0.5967431472175736
K19595,gesA,Resistance/Detoxification,Tier 1,0.1610584292276534,dickeya,2,62,0.03225806451612903,0.18058521419069812
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,xanthobacter,4,19,0.21052631578947367,0.47667961158977024
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,f1-20-mags160,6,10,0.6,0.8860771237926137
K02225,cobC1,Cofactor Biosynthesis,Tier 2,0.8286025046403807,neptunomonas,5,11,0.45454545454545453,0.7398807743787407
K03981,,,,,mhea01,1,2,0.5,0.7853981633974484
K03638,,,,,caixps01,2,4,0.5,0.7853981633974484
K02006,,,,,jagmxm01,1,2,0.5,0.7853981633974484
K09816,,,,,f1-120-mags055,2,4,0.5,0.7853981633974484
K13638,zntR,Sensing/Regulation,Tier 2,0.9113917988122212,heritagella,6,13,0.46153846153846156,0.7468985930690365
K09816,,,,,ids-52,1,2,0.5,0.7853981633974484
K07798,,,,,slsj01,2,2,0.9999,1.5607961601207307
K02013,,,,,clostridium_t,5,8,0.625,0.9117382909684877
K02077,,,,,caisue01,1,1,0.9999,1.5607961601207307
K08365,,,,,gordonia,1,95,0.010526315789473684,0.10277868940498416
K02015,,,,,calothrix,6,6,0.9999,1.5607961601207307
K02016,,,,,edwardsiella,17,17,0.9999,1.5607961601207307
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,uba6502,4,5,0.8,1.1071487177940904
K09815,,,,,finegoldia,11,12,0.9166666666666666,1.277953555066321
K03750,,,,,extibacter,3,8,0.375,0.659058035826409
K08365,,,,,tetragenococcus,2,16,0.125,0.36136712390670783
K09818,,,,,acaryochloris,2,5,0.4,0.684719203002283
K02010,,,,,uba2903,3,4,0.75,1.0471975511965976
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,caproiciproducens,1,8,0.125,0.36136712390670783
K01534,,,,,terrimicrobium,2,2,0.9999,1.5607961601207307
K02006,,,,,caimpc01,2,4,0.5,0.7853981633974484
K09820,,,,,er4,6,42,0.14285714285714285,0.3875966866551806
K09815,,,,,uba9647,2,3,0.6666666666666666,0.9553166181245093
K11704,,,,,2-02-full-66-22,1,9,0.1111111111111111,0.3398369094541219
K02008,,,,,jabdjb01,1,1,0.9999,1.5607961601207307
K07787,cusA,Resistance/Detoxification,Tier 1,0.7903100387029138,uba7803,2,3,0.6666666666666666,0.9553166181245093
K02075,,,,,caikoh01,1,1,0.9999,1.5607961601207307
K03750,,,,,av80,3,10,0.3,0.5796397403637042
K09815,,,,,serratia_j,9,46,0.1956521739130435,0.45819038227285996
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,jahbuv01,2,2,0.9999,1.5607961601207307
K16264,,,,,qhbs01,2,3,0.6666666666666666,0.9553166181245093
K00240,,,,,ignatzschineria,6,7,0.8571428571428571,1.1831996401397158
K02006,,,,,paraclostridium,5,32,0.15625,0.40637778068433034
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,caenispirillum,1,2,0.5,0.7853981633974484
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,wtxa01,1,2,0.5,0.7853981633974484
K02010,,,,,pseudomonas_f,16,18,0.8888888888888888,1.2309594173407747
K02010,,,,,uba5456,3,14,0.21428571428571427,0.4812753739423435
K00240,,,,,wtgu01,1,2,0.5,0.7853981633974484
K09818,,,,,olb19,2,6,0.3333333333333333,0.6154797086703873
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,cuspidothrix,1,2,0.5,0.7853981633974484
K02190,cbiK,Transport/Homeostasis,Tier 2,0.7861808686665489,paramuribaculum,5,31,0.16129032258064516,0.41327380849445355
K03638,,,,,snodgrassella,6,16,0.375,0.659058035826409
K03325,ACR3,Resistance/Detoxification,Tier 1,0.5419485256329538,chocpot-mid,1,2,0.5,0.7853981633974484
K02006,,,,,actinopolymorpha,1,2,0.5,0.7853981633974484
K02484,,,,,natronogracilivirgula,1,2,0.5,0.7853981633974484
K09815,,,,,desulfoluna,1,2,0.5,0.7853981633974484
K02016,,,,,uba3633,2,4,0.5,0.7853981633974484
K19976,mntB,Transport/Homeostasis,Tier 2,0.3065316853443602,chocpot-mid,1,2,0.5,0.7853981633974484
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,exiguobacterium_a,6,38,0.15789473684210525,0.40863785509759243
K09816,,,,,victivallis,9,19,0.47368421052631576,0.7590702092666635
K07798,,,,,gp1-aa122,1,2,0.5,0.7853981633974484
K11708,troC,Transport/Homeostasis,Tier 1,0.1610462487044206,ib182353,1,2,0.5,0.7853981633974484
K08365,,,,,sphingopyxis,39,42,0.9285714285714286,1.3002465638163236
K00240,,,,,rug592,5,9,0.5555555555555556,0.8410686705679302
K16264,,,,,lysobacter_a,1,2,0.5,0.7853981633974484
K09820,,,,,limnospira,2,7,0.2857142857142857,0.5639426413606289
K09816,,,,,trichococcus,7,21,0.3333333333333333,0.6154797086703873
K15725,,,,,marortus,5,6,0.8333333333333334,1.1502619915109316
K09815,,,,,mvzn01,1,2,0.5,0.7853981633974484
K09817,,,,,jafatz01,2,2,0.9999,1.5607961601207307
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,sulfurospirillum_a,4,9,0.4444444444444444,0.7297276562269663
K02016,,,,,quasibacillus,2,3,0.6666666666666666,0.9553166181245093
K02012,afuA,Transport/Homeostasis,Tier 1,0.5256319286864727,himb114,3,4,0.75,1.0471975511965976
K11601,mntC,Transport/Homeostasis,Tier 2,0.0001059596688143,amycolatopsis,10,74,0.13513513513513514,0.3764348721483621
K02006,,,,,rug472,2,23,0.08695652173913043,0.29933402641777124
K09820,,,,,f0428,1,4,0.25,0.5235987755982989
K17686,copA,Resistance/Detoxification,Tier 2,0.5113467748694513,cetobacterium,2,2,0.9999,1.5607961601207307
K02016,,,,,shimia,9,12,0.75,1.0471975511965976
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,vogesella,3,5,0.6,0.8860771237926137
K05895,,,,,bacillus_i,2,14,0.14285714285714285,0.3875966866551806
K08365,,,,,kibdelosporangium,1,2,0.5,0.7853981633974484
K09816,,,,,lonsdalea,6,19,0.3157894736842105,0.5967431472175736
K09820,,,,,slms01,2,3,0.6666666666666666,0.9553166181245093
K02013,,,,,piscinibacter,3,6,0.5,0.7853981633974484
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,fredricksoniimonas,2,5,0.4,0.684719203002283
K15725,,,,,mntg04,1,7,0.14285714285714285,0.3875966866551806
K00380,,,,,pseudonocardia,4,45,0.08888888888888889,0.3027459516230044
K02009,cbiN,Transport/Homeostasis,Tier 2,0.5686107849885613,feb-14,1,4,0.25,0.5235987755982989
K02077,,,,,jajynj01,2,6,0.3333333333333333,0.6154797086703873
K02006,,,,,bms3abin09,1,3,0.3333333333333333,0.6154797086703873
K03981,,,,,jajdvg01,2,4,0.5,0.7853981633974484
K02006,,,,,rug806,2,13,0.15384615384615385,0.4030570744661132
K09883,cobT,Transport/Homeostasis,Tier 2,0.846628805205085,tmed8,1,3,0.3333333333333333,0.6154797086703873
K08365,,,,,roseomonas_d,1,8,0.125,0.36136712390670783
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,nioz-uu13,2,3,0.6666666666666666,0.9553166181245093
K01534,,,,,jajyks01,1,2,0.5,0.7853981633974484
K09820,,,,,slrq01,1,2,0.5,0.7853981633974484
K08225,entS,Transport/Homeostasis,Tier 2,0.4171390725213793,cajcbl01,3,5,0.6,0.8860771237926137
K15727,,,,,desulfomarina,1,5,0.2,0.4636476090008061
K03635,MOCS2B,Cofactor Biosynthesis,Tier 2,0.5305892439358237,fachb-40,1,2,0.5,0.7853981633974484
K02077,,,,,cag-273,4,21,0.19047619047619047,0.45163344107953174
K09817,,,,,uba7445,1,2,0.5,0.7853981633974484
K02068,,,,,uba5951,1,8,0.125,0.36136712390670783
K02016,,,,,sv3-b141,2,3,0.6666666666666666,0.9553166181245093
K02077,,,,,rhodopila,4,13,0.3076923076923077,0.5880026035475676
K11709,troD,Transport/Homeostasis,Tier 1,0.2209258229638139,saccharibacillus,3,6,0.5,0.7853981633974484
K15726,czcA,Resistance/Detoxification,Tier 1,0.6546049730743905,vampirovibrio,1,1,0.9999,1.5607961601207307
K02008,,,,,emergencia,3,6,0.5,0.7853981633974484
K09815,,,,,jaazbg01,1,2,0.5,0.7853981633974484
K02007,cbiM,Transport/Homeostasis,Tier 2,0.5554474595698389,corynebacterium,20,546,0.03663003663003663,0.19257787680565122
K09817,,,,,desulfosarcina,3,5,0.6,0.8860771237926137
K08225,entS,Transport/Homeostasis,Tier 2,0.4171390725213793,uba1127,2,2,0.9999,1.5607961601207307
K08225,entS,Transport/Homeostasis,Tier 2,0.4171390725213793,rhodoferax,5,111,0.04504504504504504,0.2138647514139979
K02069,STAR2,Transport/Homeostasis,Tier 1,0.5138841377981769,propioniciclava,1,2,0.5,0.7853981633974484
K02006,,,,,pwym01,4,8,0.5,0.7853981633974484
K02483,,,,,jahjdp01,1,3,0.3333333333333333,0.6154797086703873
